ifsc,bank_id,branch,address,city,district,state,bank_name
ADCC0000033,61,AKOT MAIN BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH AKOT MAIN, AT. PO. TQ. AKOT, DIST. AKOLA. 444101",AKOT,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000034,61,AKOT CITY BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH AKOT CITY, AT. PO. TQ. AKOT, DIST. AKOLA. 444101",AKOT,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000035,61,AKOT NARSING MANDIR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH NARSING MANDIR, AT. PO. TQ. AKOT, DIST. AKOLA. 444101",AKOT,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000036,61,SAVARA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH SAVARA, AT. PO. SAVARA, TQ. AKOT, DIST. AKOLA. 444101",AKOT,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000037,61,RAUNDALA BRANCH,"THE AKOLA DIST. CENTRAL COOP. BANK LTD., BRANCH RAUNDALA, AT PO. DEVRI PHATA PARISAR, NEAR SWAMI VIVEKANAND CONVENT. TQ. AKOT DIST. AKOLA., 444101",CHAUHATTA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000038,61,CHOHOTTA BAZAR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH CHOHOTTA BAZAR, AT. PO. CHOHOTTA BAZAR, TQ. AKOT, DIST. AKOLA. 444125",CHAUHATTA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000039,61,WARUL JAULKA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH WARUD JAULKA, AT. PO. WARUD JAULKA,TQ. AKOT, DIST. AKOLA. 444101",CHAUHATTA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
AKJB0000009,100,TAPADIA NAGAR,"TATYASAHEB OKE MARG, JATHARPETH CHOWK, AKOLA PIN 444 005",AKOLA,AKOLA,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
ADCC0000040,61,AKOLKHED BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH AKOLKHED, AT. PO. AKOLKHED, TQ. AKOT, DIST.AKOLA. 444101",AKOT,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000041,61,KUTASA BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH KUTASA, AT. PO. KUTASA, TQ. AKOT, DIST. AKOLA. 444101",KUTASA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000042,61,MUNDGAON BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH MUNDGAON, AT. PO. MUNDGAON, TQ. AKOT, DIST. AKOLA. 444117",MUNDGAON,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000043,61,TELHARA MAIN BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH TELHARA MAIN, AT. PO. TQ.TELHARA,  DIST. AKOLA. 444108",TELHARA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000044,61,TELHARA CITY BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH TELHARA CITY, AT. PO. TQ.TELHARA,  DIST. AKOLA. 444108",TELHARA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000045,61,HIWARKHED BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH HIWARKHED, AT. PO. HIWARKHED, TQ. TELHARA, DIST.AKOLA. 444103",HIWARKHED,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000046,61,DANAPUR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH DANAPUR, AT. PO. DANAPUR, TQ. TELHARA, DIST.AKOLA. 444129",DANAPUR,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000047,61,PATHARDI BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH PATHARDI, AT. PO. PATHARDI, TQ. TELHARA, DIST.AKOLA. 444117",PATHARDI,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000048,61,BELKHED BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH BELKHED, AT. PO. BELKHED, TQ. TELHARA, DIST.AKOLA. 444108",TELHARA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
AKJB0000004,100,WASHIM,"JANVAIBHAV,RISOD NAKA, WASHIM PIN 444 505",WASHIM,WASHIM,MAHARASHTRA,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
ADCC0000049,61,AADSUL ┬áBRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH ADSUL, AT. PO. ADSUL, TQ. TELHARA, DIST. AKOLA. 444108",TELHARA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000050,61,ADGAON BUJRUK BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH ADGAON, AT.PO. ADGAON, TQ. TELHARA, DIST.AKOLA. 444126",ADGAON BK,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000051,61,BALAPUR BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH BALAPUR, AT.PO. TQ. BALAPUR, DIST. AKOLA. 444302",BALAPUR,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000052,61,URAL BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH URAL BK., AT. PO. URAL BK., TQ. BALAPUR, DIST.AKOLA. 444311",URAL(BK),AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000053,61,WADEGAON BRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH WADEGAON, AT. PO. WADEGAON, TQ. BALAPUR, DIST. AKOLA. 444502",WADEGAON,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
ADCC0000054,61,NIMBA ┬áBRANCH,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH NIMBA, AT. PO. NIMBA, TQ. BALAPUR, DIST.AKOLA. 444311",NIMBA,AKOLA,MAHARASHTRA,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
